משובחין הא למדת שבזכות בנים אבותיהן מתכבדין ˙	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7::::	:midrash.Midrash_Tanchuma.Vayikra.5:::::
ואם מנחה על המחבת וכתי' ואם מנחת מרחשת מה בין	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.2	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7::::::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	:midrash.Midrash_Tanchuma.Vayikra.5:::::::::midrash.Esther_Rabbah..10:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:
מחבת למרחשת ˙ מרחשת יש לה כסוי מחבת אין לה כסוי	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7::::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	:midrash.Esther_Rabbah..10:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487::::midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:
מרחשת עמוקה ומעשיה רוחשין מחבת צפה ומעשיה	midrash.Midrash_Tanchuma_Buber.Vayikra.7		::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	::midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:
קשין ˙˙ חביתי כהן גדול הוא מוזהר על לישתן ועשייתן בפנים	midrash.Midrash_Tanchuma_Buber.Vayikra.7	I_Samuel.23	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Yalkut_Shimoni_on_Torah.450::bavli.Menachot.151:bavli.Keritot.56::yerushalmi.Sanhedrin.89:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:	midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:::bavli.Menachot.174:bavli.Menachot.151::yerushalmi.Yevamot.122:::midrash.Midrash_Tanchuma.Vayikra.5:
ודוחה את השבת טחנן והרקידן אינו דוחה את השבת ˙˙	midrash.Midrash_Tanchuma_Buber.Vayikra.7		:yerushalmi.Sanhedrin.89:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:::bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Pesachim.131:bavli.Pesachim.131:bavli.Pesachim.131:	:yerushalmi.Yevamot.122:::midrash.Midrash_Tanchuma.Vayikra.5:::midrash.Sifrei_Bamidbar.65:mishnah.Menachot.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Menachot.191:mishnah.Pesachim.6:midrash.Sifrei_Bamidbar.65:yerushalmi.Pesachim.77:
כל המנחות נילושות בפושרין ומשמרן שלא יחמיצו ואם	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Jeremiah.51	::bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Pesachim.131:bavli.Pesachim.131:bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	::midrash.Sifrei_Bamidbar.65:mishnah.Menachot.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Menachot.191:mishnah.Pesachim.6:midrash.Sifrei_Bamidbar.65:yerushalmi.Pesachim.77:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:
החמיצו שיריה עובר בלא תעשה שנ' כל המנחה אשר	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.2	bavli.Pesachim.131:bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Sifrei_Devarim.147:tosefta.Makkot.4:midrash.Midrash_Tanchuma_Buber.Vayetzei.21:tosefta.Zevahim.11:	midrash.Sifrei_Bamidbar.65:yerushalmi.Pesachim.77:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Sifrei_Devarim.72:yerushalmi.Bava_Metsia.69:mishnah.Tahorot.1::
תקריבו ליוי וג' וידבר יוי נפש כי תחטא ˙ ילמדנו	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.5	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Sifrei_Devarim.147:tosefta.Makkot.4:midrash.Midrash_Tanchuma_Buber.Vayetzei.21:tosefta.Zevahim.11:midrash.Sifrei_Bamidbar.142::::midrash.Yalkut_Shimoni_on_Torah.550:midrash.Ein_Yaakov.Shevuot.1::	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Sifrei_Devarim.72:yerushalmi.Bava_Metsia.69:mishnah.Tahorot.1::midrash.Yalkut_Shimoni_on_Torah.776::::bavli.Bava_Metzia.136:::
רבינו מהו שיכנס אדם להר הבית במקלו	midrash.Midrash_Tanchuma_Buber.Vayikra.8		tosefta.Zevahim.11:midrash.Sifrei_Bamidbar.142::::midrash.Yalkut_Shimoni_on_Torah.550:midrash.Ein_Yaakov.Shevuot.1::midrash.Midrash_Tanchuma_Buber.Lech Lecha.1:midrash.Midrash_Tanchuma.Metzora.5:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	:midrash.Yalkut_Shimoni_on_Torah.776::::bavli.Bava_Metzia.136::::midrash.Midrash_Tanchuma_Buber.Lech Lecha.20:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Berakhot.45:bavli.Yevamot.12:bavli.Yevamot.12:bavli.Yevamot.12:
ובאפודתו כך שנו רבותינו לעולם לא יכנס 	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Isaiah.25	midrash.Ein_Yaakov.Shevuot.1::midrash.Midrash_Tanchuma_Buber.Lech Lecha.1:midrash.Midrash_Tanchuma.Metzora.5:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma.Pekudei.10:midrash.Yalkut_Shimoni_on_Nach.230:minor_tractate.Avot_D'Rabbi_Natan.35:	:::midrash.Midrash_Tanchuma_Buber.Lech Lecha.20:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Berakhot.45:bavli.Yevamot.12:bavli.Yevamot.12:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Ki Tisa.25:midrash.Yalkut_Shimoni_on_Nach.499::
