שובחין הא למדת שבזכות בנים אביתיהן מתכעבדין˙	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:::	:midrash.Midrash_Tanchuma.Vayikra.5::::
ואם מנחה על המחבת וכתי' ואם מנות מרחשת מה בין	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.2	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7::::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	:midrash.Midrash_Tanchuma.Vayikra.5::::::::midrash.Esther_Rabbah..10:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:
מחבת למרחשת מרחשת יש לה כסוי מחבת אין לה כסוי	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	::midrash.Esther_Rabbah..10:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:
מרחשת עמוקה ומעשיה רוחשין מחבת צפה ומעשה	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:
שין˙ חביתי כן הוא מוזהר על לישתן ועשייתן בים	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Yalkut_Shimoni_on_Nach.74:bavli.Yevamot.168:yerushalmi.Sanhedrin.89::::	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Yalkut_Shimoni_on_Torah.487:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Gittin.12:midrash.Yalkut_Shimoni_on_Torah.629:yerushalmi.Yevamot.122::::
ודוחה את השבת טחנן והרקידן אינו דוחה את השבת˙	midrash.Midrash_Tanchuma_Buber.Vayikra.7		midrash.Yalkut_Shimoni_on_Nach.74:bavli.Yevamot.168:yerushalmi.Sanhedrin.89:::::bavli.Arakhin.5:bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Pesachim.131:bavli.Pesachim.131:	bavli.Gittin.12:midrash.Yalkut_Shimoni_on_Torah.629:yerushalmi.Yevamot.122:::::yerushalmi.Niddah.12:midrash.Sifrei_Bamidbar.65:mishnah.Menachot.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Menachot.191:mishnah.Pesachim.6:midrash.Sifrei_Bamidbar.65:
בל המנחות נילושת בפושרין ומשמרן שלא יחמיצו ואם	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Jeremiah.51	bavli.Arakhin.5:bavli.Pesachim.131:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Pesachim.131:bavli.Pesachim.131:yerushalmi.Shabbat.176:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:	yerushalmi.Niddah.12:midrash.Sifrei_Bamidbar.65:mishnah.Menachot.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:bavli.Menachot.191:mishnah.Pesachim.6:midrash.Sifrei_Bamidbar.65:yerushalmi.Pesachim.88:::midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:
החמיצו שיריה עובר בלא תעשה שנ' כל המנחה ש	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.2	yerushalmi.Shabbat.176:::midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Sifrei_Devarim.147:tosefta.Makkot.4:midrash.Midrash_Tanchuma_Buber.Vayetzei.21:tosefta.Zevahim.11:	yerushalmi.Pesachim.88:::midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma_Buber.Pinchas.11:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Sifrei_Devarim.72:yerushalmi.Bava_Metsia.69:mishnah.Tahorot.1::
תקריבו ליוי וג' וידבר יוי נפש כי תחטא˙ ילמדנו	midrash.Midrash_Tanchuma_Buber.Vayikra.7	Leviticus.5	midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Midrash_Tanchuma_Buber.Vayikra.7:midrash.Sifrei_Devarim.147:tosefta.Makkot.4:midrash.Midrash_Tanchuma_Buber.Vayetzei.21:tosefta.Zevahim.11::::midrash.Yalkut_Shimoni_on_Torah.550:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Midrash_Tanchuma.Vayikra.5:midrash.Sifrei_Devarim.72:yerushalmi.Bava_Metsia.69:mishnah.Tahorot.1:::::bavli.Bava_Metzia.136:midrash.Midrash_Tanchuma.Vayikra.6:
רבינו מהו שיכנס אדם להר הבית במקלו	midrash.Midrash_Tanchuma_Buber.Vayikra.8		tosefta.Makkot.4:midrash.Midrash_Tanchuma_Buber.Vayetzei.21:tosefta.Zevahim.11::::midrash.Yalkut_Shimoni_on_Torah.550:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma.Metzora.5:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	yerushalmi.Bava_Metsia.69:mishnah.Tahorot.1:::::bavli.Bava_Metzia.136:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma_Buber.Lech Lecha.20:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Berakhot.45:bavli.Yevamot.12:bavli.Yevamot.12:bavli.Yevamot.12:
ובאפדתו כך שנו רבותינו לעולם לא יכנס לה	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Isaiah.25	midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma.Metzora.5:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma.Pekudei.10:midrash.Yalkut_Shimoni_on_Nach.230:minor_tractate.Avot_D'Rabbi_Natan.35:midrash.Sifrei_Devarim.258:	midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma_Buber.Lech Lecha.20:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Berakhot.45:bavli.Yevamot.12:bavli.Yevamot.12:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Ki Tisa.25:midrash.Yalkut_Shimoni_on_Nach.499::bavli.Kiddushin.96:
אדם להר הבית במקלו ובאפונדתו ובאבק שעל	midrash.Midrash_Tanchuma_Buber.Vayikra.8		midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma.Pekudei.10:midrash.Yalkut_Shimoni_on_Nach.230:minor_tractate.Avot_D'Rabbi_Natan.35:midrash.Sifrei_Devarim.258:midrash.Vayikra_Rabbah.18:midrash.Yalkut_Shimoni_on_Nach.273:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:bavli.Yevamot.12:	bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Ki Tisa.25:midrash.Yalkut_Shimoni_on_Nach.499::bavli.Kiddushin.96:midrash.Yalkut_Shimoni_on_Torah.567:midrash.Midrash_Tanchuma_Buber.Vayikra.8:bavli.Yevamot.12:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:mishnah.Berakhot.9:
רגליו שלא ינהוג בו קלות ראש אפי' בחורבנו˙˙	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Ezekiel.44	midrash.Sifrei_Devarim.258:midrash.Vayikra_Rabbah.18:midrash.Yalkut_Shimoni_on_Nach.273:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:bavli.Yevamot.12:mishnah.Mikvaot.9:yerushalmi.Yevamot.133:midrash.Yalkut_Shimoni_on_Torah.311:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Yalkut_Shimoni_on_Torah.456::	bavli.Kiddushin.96:midrash.Yalkut_Shimoni_on_Torah.567:midrash.Midrash_Tanchuma_Buber.Vayikra.8:bavli.Yevamot.12:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:mishnah.Berakhot.9:mishnah.Berakhot.9:mishnah.Berakhot.9:::midrash.Midrash_Tanchuma.Bereshit.2:::
אמ' הב'ה' את שבתותי תשמורו ומקדשי תיראו ˙ ומה	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Joshua.1	midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:bavli.Yevamot.12:mishnah.Mikvaot.9:yerushalmi.Yevamot.133:midrash.Yalkut_Shimoni_on_Torah.311:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Yalkut_Shimoni_on_Torah.456::::midrash.Pirkei_DeRabbi_Eliezer.54:::	midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:mishnah.Berakhot.9:mishnah.Berakhot.9:mishnah.Berakhot.9:::midrash.Midrash_Tanchuma.Bereshit.2:::::midrash.Pirkei_DeRabbi_Eliezer.15:::
ראה להקיש שמירת שבת למקדש כך שנה ' חייא	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Proverbs.2	midrash.Yalkut_Shimoni_on_Torah.456::::midrash.Pirkei_DeRabbi_Eliezer.54::::midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8::	::::midrash.Pirkei_DeRabbi_Eliezer.15::::midrash.Midrash_Tanchuma.Vaera.4:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Pesachim.209:midrash.Midrash_Tanchuma.Vayikra.6::
הגדול כשם ששמירת שבת ל עולם כך מורתא מקדש	midrash.Midrash_Tanchuma_Buber.Vayikra.8		midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8::midrash.Yalkut_Shimoni_on_Nach.889:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8::::midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Pesachim.209:midrash.Midrash_Tanchuma.Vayikra.6:::midrash.Yalkut_Shimoni_on_Nach.175:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6::::midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:
לעולם ושלמה צווח מקום המשפט שמה הרשע	midrash.Midrash_Tanchuma_Buber.Vayikra.8	Ecclesiastes.3	:midrash.Yalkut_Shimoni_on_Nach.889:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8::::midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:	::midrash.Yalkut_Shimoni_on_Nach.175:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6::::midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Mishpatim.13:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Yalkut_Shimoni_on_Nach.968:
שלמה היה צופה היאך הרשעים מעמין בית המקדש	midrash.Midrash_Tanchuma_Buber.Vayikra.8		midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:midrash.Midrash_Tanchuma_Buber.Vayikra.8:::midrash.Yalkut_Shimoni_on_Nach.988:	midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:bavli.Yevamot.12:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Mishpatim.13:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Yalkut_Shimoni_on_Nach.968:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma.Vayikra.6:midrash.Midrash_Tanchuma_Buber.Achrei Mot.1:midrash.Midrash_Tanchuma_Buber.Achrei Mot.11:midrash.Midrash_Tanchuma.Vayikra.6::::
